"ts","src_ip_octet_1","src_ip_octet_2","src_ip_octet_3","src_ip_octet_4","dst_ip_octet_1","dst_ip_octet_2","dst_ip_octet_3","dst_ip_octet_4","pvlan","svlan","src_port","dst_port","length","bucket"
"6557039274215495921","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526679600"
"6557039274644959891","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526679600"
"6557039275074425029","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526679600"
"6557039275503891353","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526679600"
"6557043104048591314","254","214","154","156","138","254","201","74","120",,"50271","179","752","1526680500"
"6557043149099066674","137","254","201","74","138","254","201","74","120",,"179","53910","1840","1526680500"
"6557043143422905474","137","254","201","74","138","254","201","74","120",,"179","53910","2576","1526680500"
"6557043144874243673","224","215","154","156","138","254","201","74","120",,"0","0","544","1526680500"
"6557043141710000420","224","213","154","156","138","254","201","74","120",,"0","0","544","1526680500"
"6557043155040360992","137","254","201","74","138","254","201","74","120",,"179","53910","1184","1526680500"
"6557043156702310095","137","254","201","74","138","254","201","74","120",,"179","53910","1216","1526680500"
"6557043150301287766","224","215","154","156","138","254","201","74","120",,"0","0","544","1526680500"
"6557043102450836575","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043103640287489","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043104367733667","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043105380676118","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043144711691025","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043138000853117","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043140221773016","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043151951887547","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043162077261106","13","250","168","192","12","250","168","192","370","3007","179","59584","776","1526680500"
"6557043168068877359","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043170290174270","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043130506886040","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043130796088275","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043147008478564","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043147398407202","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043148134904872","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043149009045512","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043155611782795","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557043157537024693","93","175","212","204","17","17","77","10","370","3007","64468","10200","544","1526680500"
"6557039276555716659","11","1","19","172","10","1","19","172","290",,"179","41255","544","1526679600"
"6557039279048422381","11","1","19","172","10","1","19","172","290",,"179","41255","648","1526679600"
"6557039264078777762","16","0","1","0","50","67","79","70","290",,"0","0","1072","1526679600"
"6557039263327412850","11","1","19","172","10","1","19","172","290",,"179","41255","544","1526679600"
"6557039265992072738","11","1","19","172","10","1","19","172","290",,"179","41255","648","1526679600"
"6557039281022460616","11","1","19","172","10","1","19","172","290",,"179","41255","544","1526679600"
"6557039283429319250","11","1","19","172","10","1","19","172","290",,"179","41255","648","1526679600"
"6557039280616121465","51","250","168","192","50","250","168","192","370","3026","179","58881","776","1526679600"
"6557043159613943622","39","250","168","192","38","250","168","192","370","3020","179","58880","624","1526680500"
"6557043159614242225","51","250","168","192","50","250","168","192","370","3026","179","58881","624","1526680500"
"6557039233929366963","16","0","1","0","50","67","79","70","111",,"0","0","1080","1526679600"
"6557039264079395528","16","0","1","0","50","67","79","70","111",,"0","0","1080","1526679600"
"6557043102462019120","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043102891481257","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043103320945506","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043103750409378","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043104179873318","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043104609338031","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043105038804856","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043105468267005","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043105897731902","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043106327196455","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043141113841255","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043141543286479","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043141972749588","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043142402214449","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043142831678176","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043143261144996","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043143690608972","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043144120075425","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043144549535522","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043144979002525","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043149703130477","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043150132574753","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043150562039146","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043150991504811","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043151420969015","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043151850432635","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043152279899431","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043152709362726","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043153138826141","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043153568291703","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043167812980320","255","119","164","160","0","0","57","0","250","7","0","0","544","1526680500"
"6557043153997758502","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043154427223343","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043154856686638","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043155286150809","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043155715615065","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043156145078515","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043156574542584","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043157004008060","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043157433472162","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043157862937466","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043158292420775","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043158721866116","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043159151329874","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043159580795763","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043160010257958","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043160439722489","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043160869187607","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043161298652341","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043161728116561","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043162157581398","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043145408467398","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043145837932562","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043146267396147","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043146696860796","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043147126324432","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043147555788703","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043147985254384","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043148414717918","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043148844182621","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557043149273646825","57","0","255","119","58","0","255","119","250","7","49152","3784","624","1526680500"
"6557039278153886710","14","158","237","10","13","158","237","10","330",,"179","65223","808","1526679600"
"6557039215919469441","1","83","168","192","132","253","148","10","21","98","21646","161","1312","1526679600"
"6557039216450575251","1","83","168","192","132","253","148","10","21","98","21646","161","1312","1526679600"
"6557039217023682868","1","83","168","192","132","253","148","10","21","98","21646","161","1312","1526679600"
"6557039217567518001","1","83","168","192","132","253","148","10","21","98","21646","161","1312","1526679600"
"6557039218142454568","1","83","168","192","132","253","148","10","21","98","21646","161","1312","1526679600"
"6557039218673578764","1","83","168","192","132","253","148","10","21","98","21646","161","1312","1526679600"
"6557039219205300686","1","83","168","192","132","253","148","10","21","98","21646","161","1312","1526679600"
"6557039219738254565","1","83","168","192","132","253","148","10","21","98","21646","161","1312","1526679600"
"6557039215812465752","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039215834563852","1","83","168","192","105","253","148","10","21","98","7071","161","1384","1526679600"
"6557039215837978163","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039215845012737","1","83","168","192","105","253","148","10","21","98","7071","161","1312","1526679600"
"6557039215906122692","1","83","168","192","105","253","148","10","21","98","7071","161","1344","1526679600"
"6557039215921617898","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039215935778479","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039216339162893","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039216362247174","1","83","168","192","105","253","148","10","21","98","7071","161","1504","1526679600"
"6557039216364922884","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039216371782275","1","83","168","192","105","253","148","10","21","98","7071","161","1312","1526679600"
"6557039216435306460","1","83","168","192","105","253","148","10","21","98","7071","161","1504","1526679600"
"6557039216448505702","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039216462850349","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039216865936898","1","83","168","192","105","253","148","10","21","98","7071","161","1352","1526679600"
"6557039217014315803","1","83","168","192","105","253","148","10","21","98","7071","161","808","1526679600"
